,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
EMP1,-0.13343214262967668,1.1082866058271491e-06,1.8471443430452486e-05,-0.18604790869337934,-0.08005328344136678
SLAMF9,-0.13504889955059335,8.176082145149225e-07,1.387013935337815e-05,-0.18763685818110687,-0.08168894197649047
WEE1,-0.1373501090649668,5.270145405767459e-07,9.180396890848076e-06,-0.18989801343096485,-0.08401755091154739
LMNB1,-0.1377024232348763,4.92429060791848e-07,8.663103847263992e-06,-0.1902441461126913,-0.08437411134473058
MS4A3,-0.13889714588951177,3.906835621064518e-07,6.93737166357251e-06,-0.1914178096511064,-0.08558333507140779
TRH,-0.1400854618550288,3.097395029866572e-07,5.658702458410083e-06,-0.1925850304584334,-0.08678623016983786
HIST1H2BN,-0.14034122700424562,2.945669743894631e-07,5.433759721747378e-06,-0.1928362358002082,-0.08704515356024986
AZU1,-0.14115068878824447,2.51125705948621e-07,4.677831777474312e-06,-0.19363122106745168,-0.08786465820586747
TMEM102,-0.14131280728091697,2.4320128480283303e-07,4.57507367450874e-06,-0.19379043192913373,-0.08802879674658379
MATK,-0.14379749130621441,1.4810186132266234e-07,2.842358954677358e-06,-0.19623020680966755,-0.09054480279112419
