"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-CJ-4900-01",12.5526617523061,27.869586077209,6.77596281675491,13.996674690668,0.0726201309161238
"TCGA-BP-4988-01",8.4529621301585,24.2653412994137,4.43443731270402,8.25951651598055,0.0778319249301723
"TCGA-DV-5568-01",18.6978730955998,22.8012492544095,8.09826553878519,18.4772915376586,0.0866966007237484
"TCGA-BP-4159-01",17.4899084507568,17.9959878099025,8.44383150810146,19.2810303572757,0.0790184922740329
"TCGA-B8-4148-01",8.33979912820981,25.9083414065438,6.15104675096103,12.2308716280867,0.133007621142046
"TCGA-A3-3347-01",7.27998940123582,22.264128267735,3.34476249041961,8.84089790653909,0.0991057499951313
"TCGA-A3-3367-01",11.813894914734,23.5141582706488,9.16920878920148,16.647820762054,0.175078505492029
"TCGA-MM-A564-01",21.485779456879,20.9747016364838,6.83689819119927,15.814025845356,0.195762625173236
"TCGA-BP-5168-01",16.1247515167162,23.4837644591547,9.18616032931092,18.8302213845876,0.108565332471249
"TCGA-BP-5190-01",26.5760514075084,31.3701868092251,15.173713209893,23.1207785718867,0.127996287733353
"TCGA-B0-4822-01",21.7533253055438,28.4541000726933,6.95981871493514,16.582143488289,0.0845128032390744
"TCGA-CJ-6032-01",16.2113381921897,34.180190789695,13.5322225032196,22.5006722072304,0.162020045590518
"TCGA-B0-5713-01",11.8951498989201,21.9163226233466,9.16923407525847,16.5620337982487,0.15036798519694
"TCGA-CJ-4875-01",21.3308587382807,29.6834832028551,8.51730350348307,16.5014716254935,0.0808525911240538
"TCGA-A3-3351-01",8.26666978415407,24.5189769165751,6.57374623539411,9.06203912774214,0.1181662027996
"TCGA-BP-4995-01",23.3240497873236,44.2598049284055,12.7676955822317,24.842743206743,0.243977327982532
"TCGA-B8-5551-01",9.28717364714853,34.5162158836123,6.72905489643024,10.2890981998885,0.127278624361419
"TCGA-BP-4970-01",8.79378982618671,21.8518292673512,7.86600212649602,11.9444225740639,0.140325075043334
"TCGA-BP-4964-01",12.8466583411939,24.4915846668667,8.16416544324453,14.5546423197508,0.159922100951997
"TCGA-B0-5707-01",44.1856346034627,46.0443102711874,23.956666069809,19.7023784967321,0.325365129551161
"TCGA-BP-4774-01",18.8144071131783,22.8156151513235,8.48784023525538,16.4459979325501,0.135694959381961
"TCGA-AK-3443-01",27.8090865870316,54.2782443396273,20.4696091403964,36.4178969504614,0.355322513872021
"TCGA-CJ-4902-01",10.9374399880326,18.9696703753135,6.05339056536261,12.2244866352101,0.103413790616813
